Feature Name,Northmost Latitude,Southmost Latitude,Eastmost Longitude,Westmost Longitude,Center Latitude,Center Longitude,URL
Trichonida Lacus,81.50,81.10,63.40,67.80,81.30,65.30,https://planetarynames.wr.usgs.gov/Feature/15636
Trold Sinus,72.20,70.20,289.00,296.30,71.30,292.70,https://planetarynames.wr.usgs.gov/Feature/15291
Tsegihi,-40.00,-40.00,10.00,10.00,-40.00,10.00,https://planetarynames.wr.usgs.gov/Feature/6991
Tsiipiya Terra,6.54,-0.75,333.77,346.54,2.83,340.12,https://planetarynames.wr.usgs.gov/Feature/15654
Tsomgo Lacus,-85.58,-87.08,154.31,171.36,-86.37,162.41,https://planetarynames.wr.usgs.gov/Feature/15462
Tui Regio,-18.90,-31.60,109.80,137.80,-24.50,124.90,https://planetarynames.wr.usgs.gov/Feature/7020
Tumaco Sinus,82.86,82.23,314.55,316.17,82.55,315.22,https://planetarynames.wr.usgs.gov/Feature/15948
Tunu Sinus,80.70,77.80,292.00,305.00,79.20,299.80,https://planetarynames.wr.usgs.gov/Feature/15288
Tupile Labyrinthus,-79.50,-81.40,30.10,35.20,-80.50,32.20,https://planetarynames.wr.usgs.gov/Feature/15358
Uanui Virgae,51.50,36.60,221.40,251.10,45.20,235.30,https://planetarynames.wr.usgs.gov/Feature/14658
Urmia Lacus,-38.97,-39.57,276.17,276.93,-39.27,276.55,https://planetarynames.wr.usgs.gov/Feature/15096
Uvs Lacus,69.90,69.30,244.80,246.60,69.60,245.70,https://planetarynames.wr.usgs.gov/Feature/14777
Uyuni Lacuna,66.60,65.90,227.80,228.90,66.30,228.40,https://planetarynames.wr.usgs.gov/Feature/14791
Vaca Lacus,77.41,76.59,129.81,133.89,77.00,131.93,https://planetarynames.wr.usgs.gov/Feature/16286
Van Lacus,74.60,73.90,136.10,138.50,74.20,137.30,https://planetarynames.wr.usgs.gov/Feature/15577
Veles,2.40,1.60,136.90,137.80,2.00,137.30,https://planetarynames.wr.usgs.gov/Feature/7019
Veliko Lacuna,-76.00,-78.00,31.60,35.10,-76.80,33.10,https://planetarynames.wr.usgs.gov/Feature/15359
Vid Flumina,74.10,71.30,239.70,245.50,72.90,242.25,https://planetarynames.wr.usgs.gov/Feature/15088
Viedma Lacus,72.40,71.50,124.80,127.30,72.00,125.70,https://planetarynames.wr.usgs.gov/Feature/15582
Vis Facula,8.30,5.50,136.30,141.40,7.00,138.40,https://planetarynames.wr.usgs.gov/Feature/7000
Vänern Lacus,70.80,69.90,222.00,223.90,70.40,223.10,https://planetarynames.wr.usgs.gov/Feature/14778
Waikare Lacus,82.20,81.00,123.70,128.30,81.60,126.00,https://planetarynames.wr.usgs.gov/Feature/14324
Wakasa Sinus,82.00,79.00,263.40,277.60,80.70,270.00,https://planetarynames.wr.usgs.gov/Feature/15297
Walvis Sinus,60.60,55.30,320.30,327.90,58.20,324.10,https://planetarynames.wr.usgs.gov/Feature/15300
Weija Lacus,68.94,68.59,327.31,328.04,68.77,327.68,https://planetarynames.wr.usgs.gov/Feature/15900
Winia Fluctus,52.00,46.50,41.00,49.20,49.00,46.00,https://planetarynames.wr.usgs.gov/Feature/14277
Winnipeg Lacus,78.72,77.53,150.82,156.77,78.05,153.31,https://planetarynames.wr.usgs.gov/Feature/15722
Woytchugga Lacuna,73.00,67.12,97.25,122.20,68.88,109.00,https://planetarynames.wr.usgs.gov/Feature/15183
Xanadu,10.00,-40.00,65.00,150.00,-15.00,100.00,https://planetarynames.wr.usgs.gov/Feature/6958
Xanthus Flumen,83.75,82.78,236.62,245.29,83.47,242.76,https://planetarynames.wr.usgs.gov/Feature/15436
Xolotlán Lacus,83.10,81.80,68.60,75.90,82.30,72.90,https://planetarynames.wr.usgs.gov/Feature/15632
Xuttah Planitia,10.46,10.74,167.90,167.48,10.60,167.69,https://planetarynames.wr.usgs.gov/Feature/16064
Yalaing Terra,-13.00,-26.00,313.00,335.00,-19.50,324.00,https://planetarynames.wr.usgs.gov/Feature/14921
Yessey Lacus,73.20,72.80,109.80,111.70,73.00,110.80,https://planetarynames.wr.usgs.gov/Feature/15601
Yojoa Lacus,78.30,77.50,51.20,56.70,78.10,54.10,https://planetarynames.wr.usgs.gov/Feature/15639
Ypoa Lacus,73.90,73.10,131.20,133.30,73.40,132.20,https://planetarynames.wr.usgs.gov/Feature/15578
Zaza Lacus,72.70,72.10,105.60,107.70,72.40,106.90,https://planetarynames.wr.usgs.gov/Feature/15602
Zephyrus Undae,-7.40,-10.10,215.80,219.00,-8.50,217.10,https://planetarynames.wr.usgs.gov/Feature/14900
Zub Lacus,71.90,71.50,101.90,103.20,71.70,102.60,https://planetarynames.wr.usgs.gov/Feature/15626
