INDEX,SWATH,SEGMENT,DATE (M),DATE (D),DATE (Y),MEAN – WEST LONGITUDE (DEG),MEDIAN – WEST LONGITUDE (DEG),MIN – WEST LONGITUDE (DEG),MAX – WEST LONGITUDE (DEG),MEAN – LATITUDE (DEG),MEDIAN – LATITUDE (DEG),MIN – LATITUDE (DEG),MAX – LATITUDE (DEG),MEAN – INCIDENCE (DEG),MEDIAN – INCIDENCE (DEG),MIN – INCIDENCE (DEG),MAX – INCIDENCE (DEG),MEAN – POLARIZATION (DEG),MEDIAN – POLARIZATION (DEG),MIN – POLARIZATION (DEG),MAX – POLARIZATION (DEG),MEAN – AZIMUTH (DEG),MEDIAN – AZIMUTH,MIN – AZIMUTH,MAX – AZIMUTH,MEAN – SAR RANGE RESOLUTION (KM),MEDIAN – SAR RANGE RESOLUTION (KM),MIN – SAR RANGE RESOLUTION (KM),MAX – SAR RANGE RESOLUTION (KM),MEAN – SAR AZIMUTH RESOLUTION (KM),MEDIAN – SAR AZIMUTH RESOLUTION (KM),MIN – SAR AZIMUTH RESOLUTION (KM),MAX – SAR AZIMUTH RESOLUTION (KM),MEAN – NUMBER OF LOOKS,MEDIAN – NUMBER OF LOOKS,MIN – NUMBER OF LOOKS,MAX – NUMBER OF LOOKS
48,36,2,10,2,2007,24.94,24.27,5.20,49.61,-29.09,-29.13,-53.24,-4.79,28.68,26.47,9.94,54.93,174.97,174.13,2.05,244.24,200.22,267.77,0.17,359.81,0.92,0.79,0.23,13.36,0.91,0.76,0.37,6.80,1.65,1.00,1.00,10.00
49,36,3,10,2,2007,107.53,103.88,20.95,198.59,-57.85,-59.11,-77.67,-32.55,43.37,42.31,30.29,61.52,178.02,177.77,115.54,242.07,213.08,226.22,0.00,359.98,0.28,0.28,0.23,0.32,0.31,0.28,0.24,0.55,1.77,2.00,1.00,3.00
50,36,4,10,2,2007,195.89,195.98,179.32,212.22,1.56,1.48,-22.13,25.38,37.50,38.41,4.06,68.63,292.72,287.28,0.09,359.88,88.80,101.62,30.06,115.26,1.70,1.42,1.24,2.77,2.56,2.56,1.24,4.69,7.10,6.00,1.00,45.00
51,39,1,12,20,2007,-53.81,-12.47,-180.00,180.00,-57.56,-57.81,-90.00,-23.54,26.56,23.87,8.22,57.89,179.47,178.59,110.10,240.11,209.29,182.88,0.07,359.99,0.42,0.32,0.24,2.20,0.40,0.28,0.23,2.42,5.18,5.00,1.00,11.00
52,39,7,12,20,2007,28.85,28.86,18.99,40.20,-35.85,-35.85,-43.64,-27.62,12.38,12.36,1.64,23.05,127.80,125.90,125.00,142.44,34.26,37.18,15.19,39.55,2.20,1.02,0.51,13.60,1.62,1.64,1.24,1.69,2.43,2.00,1.00,11.00
53,39,2,12,20,2007,196.83,196.75,172.24,223.69,8.47,8.50,-20.43,34.16,25.39,24.44,3.75,51.28,276.74,262.07,255.31,351.34,98.89,53.86,0.78,359.47,0.94,0.79,0.47,2.52,1.37,1.35,0.86,2.81,6.26,6.00,1.00,20.00
54,39,3,12,20,2007,0.02,-0.74,-42.52,45.08,-50.08,-49.65,-72.93,-30.16,42.53,42.46,38.51,48.53,238.42,239.88,216.87,257.32,320.45,319.58,295.10,347.47,1.90,1.92,1.79,1.96,2.24,2.07,1.53,3.25,20.34,17.00,1.00,63.00
55,39,4,12,20,2007,-14.46,-11.99,-180.00,180.00,-58.69,-58.23,-90.00,-29.21,54.07,50.23,41.12,80.66,242.31,245.54,216.59,265.12,312.64,329.80,0.33,358.82,1.61,1.70,1.30,1.79,2.24,1.88,1.43,3.56,37.38,28.00,1.00,255.00
56,39,5,12,20,2007,-17.77,-19.45,-180.00,180.00,-53.61,-52.69,-90.00,-20.79,54.91,51.95,43.23,80.26,239.69,240.40,211.61,263.96,312.50,332.71,0.42,359.54,1.61,1.70,1.31,1.74,1.68,1.34,0.92,3.25,29.68,28.00,1.00,99.00
57,39,6,12,20,2007,11.35,11.16,-30.39,55.79,-35.97,-35.85,-53.38,-14.13,28.33,29.63,2.06,49.41,211.86,212.36,201.62,213.48,348.36,351.16,333.07,359.18,1.93,1.70,0.43,16.46,1.49,1.62,0.91,2.08,11.36,6.00,1.00,84.00
58,41,1,2,22,2008,104.23,104.07,55.31,153.50,-27.77,-27.63,-39.78,-12.55,25.40,24.83,12.37,42.74,85.33,6.61,0.00,360.00,87.89,89.64,58.82,109.96,0.39,0.35,0.23,1.48,0.42,0.29,0.23,1.76,6.22,7.00,1.00,12.00
59,41,2,2,22,2008,152.51,152.49,140.16,165.73,-25.46,-25.41,-37.17,-13.96,29.06,32.15,4.52,42.72,54.65,2.40,0.00,360.00,58.26,58.97,44.31,63.21,0.42,0.33,0.23,1.61,0.24,0.24,0.23,0.25,2.55,3.00,1.00,4.00
60,41,3,2,22,2008,194.15,194.46,165.27,221.40,-9.95,-9.99,-36.38,16.59,13.64,13.69,2.73,26.62,190.74,179.84,163.97,266.82,220.98,231.72,145.19,246.54,0.95,0.69,0.37,7.97,0.56,0.33,0.24,6.47,6.62,7.00,1.00,11.00
61,43,1,5,12,2008,144.22,141.39,70.18,222.75,4.63,9.14,-39.97,33.50,21.56,20.11,6.42,42.70,176.82,178.41,106.55,247.25,249.52,248.65,220.94,307.18,0.49,0.41,0.23,2.77,0.42,0.29,0.23,2.48,6.21,7.00,1.00,13.00
62,43,2,5,12,2008,102.38,103.96,52.77,146.95,-30.60,-30.38,-68.98,8.72,39.58,40.93,8.01,69.74,331.79,334.94,290.92,341.92,182.96,176.93,163.99,247.09,2.30,1.69,1.35,7.24,1.67,1.71,1.26,1.84,32.97,12.00,1.00,175.00
63,44,1,5,28,2008,159.43,158.28,91.08,227.53,-0.16,2.46,-37.09,26.54,18.92,19.11,8.70,29.01,178.38,179.91,129.33,246.81,248.75,246.61,211.46,289.49,0.50,0.46,0.36,2.11,0.38,0.27,0.23,2.04,5.01,5.00,1.00,10.00
64,48,1,12,5,2008,116.70,116.91,93.69,141.18,-25.47,-25.43,-34.90,-13.73,20.60,20.89,10.63,30.38,34.41,20.96,0.01,359.99,67.25,70.19,36.34,82.16,0.59,0.52,0.36,1.75,0.65,0.57,0.31,2.01,7.61,8.00,1.00,14.00
65,48,2,12,5,2008,128.19,128.17,113.12,146.23,-20.98,-20.94,-35.88,-5.85,32.70,30.71,15.18,67.81,34.51,38.01,0.49,54.31,45.30,42.04,25.88,77.87,0.33,0.33,0.19,0.53,0.35,0.34,0.30,0.42,3.99,4.00,1.00,29.00
66,48,3,12,5,2008,174.01,174.39,112.20,241.45,7.34,5.56,-34.06,55.21,41.95,39.97,30.51,75.85,179.40,293.77,0.01,359.99,56.94,52.85,21.63,125.70,0.26,0.26,0.18,0.31,0.30,0.28,0.24,0.72,2.27,2.00,1.00,19.00
67,48,4,12,5,2008,147.62,150.20,99.00,197.64,-53.66,-53.04,-78.90,-26.75,48.14,48.45,25.83,67.95,142.44,143.54,128.87,150.60,188.76,188.54,158.38,223.62,1.56,1.63,0.54,2.56,1.61,1.62,1.15,2.39,52.49,53.00,1.00,125.00
68,48,5,12,5,2008,105.14,105.12,92.58,118.62,-32.66,-32.66,-43.90,-21.06,12.78,12.76,1.56,24.07,45.42,48.55,23.90,49.53,50.81,49.27,47.83,68.65,2.34,0.96,0.55,19.74,1.46,1.44,1.22,2.10,5.51,5.00,1.00,20.00
69,49,1,12,21,2008,117.59,122.65,-180.00,180.00,-47.31,-45.25,-90.00,-10.57,20.87,19.55,1.72,69.46,150.42,156.56,20.21,180.31,195.47,287.48,0.13,360.00,0.83,0.60,0.18,24.46,0.82,0.62,0.31,23.71,6.02,7.00,1.00,11.00
